"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.04.2026","193,84","192,55","193,95","192,22","6,60M","1,12%"
"09.04.2026","191,70","189,95","191,94","189,30","5,09M","1,43%"
"08.04.2026","189,00","190,87","191,37","187,55","8,26M","2,16%"
"07.04.2026","185,00","183,69","185,00","182,36","3,25M","0,24%"
"06.04.2026","184,56","185,05","185,78","184,20","3,97M","0,10%"
"02.04.2026","184,37","181,52","185,78","181,34","3,96M","0,10%"
"01.04.2026","184,18","184,63","185,68","183,75","3,57M","-0,05%"
"31.03.2026","184,28","181,77","184,28","180,92","4,79M","2,95%"
"30.03.2026","179,00","179,91","181,00","178,45","3,13M","0,71%"
"27.03.2026","177,74","178,19","180,13","177,60","2,97M","-0,95%"
"26.03.2026","179,45","179,91","181,60","179,13","2,90M","-1,51%"
"25.03.2026","182,20","181,00","183,02","180,66","3,47M","1,68%"
"24.03.2026","179,19","177,83","179,27","176,41","3,56M","0,16%"
"23.03.2026","178,90","175,60","179,60","175,32","8,88M","3,40%"
"20.03.2026","173,01","176,28","176,28","171,59","13,20M","-2,34%"
"19.03.2026","177,15","173,09","178,04","172,75","6,36M","0,77%"
"18.03.2026","175,80","176,00","178,13","175,80","5,20M","-0,58%"
"17.03.2026","176,83","176,50","179,27","176,46","3,98M","0,16%"
"16.03.2026","176,55","177,04","177,83","175,95","4,60M","1,15%"
"13.03.2026","174,55","176,60","177,66","173,84","6,56M","-0,74%"
"12.03.2026","175,85","178,18","178,40","175,02","6,00M","-2,42%"
"11.03.2026","180,21","178,49","182,22","178,44","3,80M","0,26%"
"10.03.2026","179,75","178,49","181,88","177,14","6,48M","1,40%"
"09.03.2026","177,26","175,20","178,56","174,13","5,42M","0,78%"
"06.03.2026","175,89","176,66","177,74","175,11","4,81M","-0,49%"
"05.03.2026","176,75","181,10","181,17","176,41","6,01M","-2,67%"
"04.03.2026","181,60","182,07","182,85","179,84","3,44M","1,28%"
"03.03.2026","179,30","180,70","181,29","176,96","8,74M","-3,34%"
"02.03.2026","185,50","183,99","186,50","182,91","5,32M","0,18%"
"27.02.2026","185,16","186,92","187,33","184,87","4,65M","-1,17%"
"26.02.2026","187,35","187,61","188,10","185,30","4,83M","-0,06%"
"25.02.2026","187,46","188,89","188,96","186,66","6,11M","-0,17%"
"24.02.2026","187,78","186,01","188,19","186,00","5,04M","1,41%"
"23.02.2026","185,17","186,07","187,39","184,63","5,35M","-0,81%"
"20.02.2026","186,69","183,40","187,00","183,16","20,63M","0,92%"
"19.02.2026","184,99","182,61","185,20","182,45","3,28M","1,40%"
"18.02.2026","182,43","184,00","184,10","181,38","3,87M","-0,30%"
"13.02.2026","182,98","181,85","182,98","180,10","7,27M","-0,71%"
"12.02.2026","184,28","185,65","186,44","183,36","8,51M","-0,92%"
"11.02.2026","185,99","184,20","186,96","183,89","7,48M","1,97%"
"10.02.2026","182,40","182,19","183,43","181,60","4,97M","-0,21%"
"09.02.2026","182,79","179,82","183,00","179,62","2,91M","1,98%"
"06.02.2026","179,24","178,94","179,80","177,91","2,91M","0,33%"
"05.02.2026","178,65","178,55","180,67","178,02","5,36M","0,25%"
"04.02.2026","178,20","181,16","181,28","176,76","7,12M","-2,19%"
"03.02.2026","182,19","181,66","183,81","180,79","5,84M","1,67%"
"02.02.2026","179,20","178,05","179,47","177,90","8,16M","0,56%"
"30.01.2026","178,20","178,95","180,20","176,65","6,76M","-0,81%"
"29.01.2026","179,65","182,30","183,14","178,12","8,77M","-0,96%"
"28.01.2026","181,40","179,89","181,69","179,04","5,67M","1,78%"
"27.01.2026","178,23","177,45","179,97","177,18","7,64M","1,67%"
"26.01.2026","175,30","176,36","176,60","174,41","6,87M","-0,23%"
"23.01.2026","175,70","173,16","177,30","172,35","9,63M","1,71%"
"22.01.2026","172,74","169,55","174,73","169,29","9,25M","2,24%"
"21.01.2026","168,95","164,96","168,95","164,93","6,04M","3,70%"
"20.01.2026","162,92","160,75","163,31","160,38","3,94M","0,61%"
